Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
15-09-2011,242.949997,244.024994,235.800003,242.324997,242.324997,4368380,10585.6767
16-09-2011,243.125,245,238.149994,241.850006,241.850006,5473504,13237.66975
19-09-2011,240.949997,243.5,238.550003,242.375,242.375,4194610,10166.68599
20-09-2011,242.5,246.625,241.5,245.675003,245.675003,5917634,14538.14751
21-09-2011,246.375,248.824997,244.199997,247.25,247.25,6445698,15936.98831
22-09-2011,243.949997,244.5,232.75,236.149994,236.149994,5095544,12033.12685
23-09-2011,234.274994,235,226.25,228.199997,228.199997,16455612,37551.70609
26-09-2011,228,228.824997,219.725006,225.050003,225.050003,13892534,31265.14818
27-09-2011,229,230.949997,227.050003,228.725006,228.725006,8011418,18324.1163
28-09-2011,231.199997,232.675003,225.875,229,229,7611876,17431.19604
29-09-2011,228.774994,237.399994,226.324997,235.300003,235.300003,16266492,38275.05616
30-09-2011,232.925003,237.399994,232.199997,233.824997,233.824997,9514400,22247.04551
03-10-2011,230.074997,232.449997,225.375,228.024994,228.024994,9068118,20677.57553
04-10-2011,226.25,228,220.25,224.449997,224.449997,7481596,16792.442
05-10-2011,224.475006,228.125,218.274994,219.350006,219.350006,8267496,18134.75297
07-10-2011,226.350006,230,223.100006,225,225,9443502,21247.8795
10-10-2011,226,229,225.024994,227.350006,227.350006,12062992,27425.21304
11-10-2011,230.350006,232.449997,227.574997,228.75,228.75,4993758,11423.22143
12-10-2011,230.975006,234.949997,226.725006,233.574997,233.574997,8967780,20946.49187
13-10-2011,237.5,238.100006,233.800003,235.324997,235.324997,5866702,13805.81631
14-10-2011,234.5,238.199997,232.675003,236.949997,236.949997,3335020,7902.32979
17-10-2011,238.300003,240.25,236.175003,239.024994,239.024994,3543632,8470.166175
18-10-2011,236.949997,240.699997,236,239.074997,239.074997,4054510,9693.319661
19-10-2011,241.475006,247.300003,239.649994,245.925003,245.925003,8689042,21368.5268
20-10-2011,244,246.199997,240.300003,244.774994,244.774994,5676852,13895.51414
21-10-2011,245.024994,245.899994,241.649994,243.5,243.5,4580732,11154.08242
24-10-2011,246.375,248.5,241.475006,242.175003,242.175003,4871546,11797.66667
25-10-2011,243.925003,245.375,224.274994,234,234,41315010,96677.1234
28-10-2011,243,247.25,239.875,241.324997,241.324997,9019224,21765.64205
31-10-2011,241.5,245.875,238.574997,245,245,6425708,15742.9846
01-11-2011,242.550003,246.5,240,241.149994,241.149994,6649758,16035.89102
02-11-2011,239.350006,244,238.75,241.550003,241.550003,5055910,12212.55076
03-11-2011,240.5,242.425003,236.050003,240.925003,240.925003,5252818,12655.35192
04-11-2011,243.350006,243.949997,240.149994,241.5,241.5,3401610,8214.88815
08-11-2011,241.5,243.675003,239.25,242.125,242.125,4196404,10160.54319
09-11-2011,242.5,242.850006,237.649994,238.625,238.625,4302494,10266.82631
